"Date_key";"Fecha";"Mes";"Año";"Mes_Año";"Fecha +40d"
42005;"2015-01-01";"enero";2015;"1.2015";"2015-02-10"
42006;"2015-01-02";"enero";2015;"1.2015";"2015-02-11"
42007;"2015-01-03";"enero";2015;"1.2015";"2015-02-12"
42008;"2015-01-04";"enero";2015;"1.2015";"2015-02-13"
42009;"2015-01-05";"enero";2015;"1.2015";"2015-02-14"
42010;"2015-01-06";"enero";2015;"1.2015";"2015-02-15"
42011;"2015-01-07";"enero";2015;"1.2015";"2015-02-16"
42012;"2015-01-08";"enero";2015;"1.2015";"2015-02-17"
42013;"2015-01-09";"enero";2015;"1.2015";"2015-02-18"
42014;"2015-01-10";"enero";2015;"1.2015";"2015-02-19"
42015;"2015-01-11";"enero";2015;"1.2015";"2015-02-20"
42016;"2015-01-12";"enero";2015;"1.2015";"2015-02-21"
42017;"2015-01-13";"enero";2015;"1.2015";"2015-02-22"
42018;"2015-01-14";"enero";2015;"1.2015";"2015-02-23"
42019;"2015-01-15";"enero";2015;"1.2015";"2015-02-24"
42020;"2015-01-16";"enero";2015;"1.2015";"2015-02-25"
42021;"2015-01-17";"enero";2015;"1.2015";"2015-02-26"
42022;"2015-01-18";"enero";2015;"1.2015";"2015-02-27"
42023;"2015-01-19";"enero";2015;"1.2015";"2015-02-28"
42024;"2015-01-20";"enero";2015;"1.2015";"2015-03-01"
42025;"2015-01-21";"enero";2015;"1.2015";"2015-03-02"
42026;"2015-01-22";"enero";2015;"1.2015";"2015-03-03"
42027;"2015-01-23";"enero";2015;"1.2015";"2015-03-04"
42028;"2015-01-24";"enero";2015;"1.2015";"2015-03-05"
42029;"2015-01-25";"enero";2015;"1.2015";"2015-03-06"
42030;"2015-01-26";"enero";2015;"1.2015";"2015-03-07"
42031;"2015-01-27";"enero";2015;"1.2015";"2015-03-08"
42032;"2015-01-28";"enero";2015;"1.2015";"2015-03-09"
42033;"2015-01-29";"enero";2015;"1.2015";"2015-03-10"
42034;"2015-01-30";"enero";2015;"1.2015";"2015-03-11"
42035;"2015-01-31";"enero";2015;"1.2015";"2015-03-12"
42036;"2015-02-01";"febrero";2015;"2.2015";"2015-03-13"
42037;"2015-02-02";"febrero";2015;"2.2015";"2015-03-14"
42038;"2015-02-03";"febrero";2015;"2.2015";"2015-03-15"
42039;"2015-02-04";"febrero";2015;"2.2015";"2015-03-16"
42040;"2015-02-05";"febrero";2015;"2.2015";"2015-03-17"
42041;"2015-02-06";"febrero";2015;"2.2015";"2015-03-18"
42042;"2015-02-07";"febrero";2015;"2.2015";"2015-03-19"
42043;"2015-02-08";"febrero";2015;"2.2015";"2015-03-20"
42044;"2015-02-09";"febrero";2015;"2.2015";"2015-03-21"
42045;"2015-02-10";"febrero";2015;"2.2015";"2015-03-22"
42046;"2015-02-11";"febrero";2015;"2.2015";"2015-03-23"
42047;"2015-02-12";"febrero";2015;"2.2015";"2015-03-24"
42048;"2015-02-13";"febrero";2015;"2.2015";"2015-03-25"
42049;"2015-02-14";"febrero";2015;"2.2015";"2015-03-26"
42050;"2015-02-15";"febrero";2015;"2.2015";"2015-03-27"
42051;"2015-02-16";"febrero";2015;"2.2015";"2015-03-28"
42052;"2015-02-17";"febrero";2015;"2.2015";"2015-03-29"
42053;"2015-02-18";"febrero";2015;"2.2015";"2015-03-30"
42054;"2015-02-19";"febrero";2015;"2.2015";"2015-03-31"
42055;"2015-02-20";"febrero";2015;"2.2015";"2015-04-01"
42056;"2015-02-21";"febrero";2015;"2.2015";"2015-04-02"
42057;"2015-02-22";"febrero";2015;"2.2015";"2015-04-03"
42058;"2015-02-23";"febrero";2015;"2.2015";"2015-04-04"
42059;"2015-02-24";"febrero";2015;"2.2015";"2015-04-05"
42060;"2015-02-25";"febrero";2015;"2.2015";"2015-04-06"
42061;"2015-02-26";"febrero";2015;"2.2015";"2015-04-07"
42062;"2015-02-27";"febrero";2015;"2.2015";"2015-04-08"
42063;"2015-02-28";"febrero";2015;"2.2015";"2015-04-09"
42064;"2015-03-01";"marzo";2015;"3.2015";"2015-04-10"
42065;"2015-03-02";"marzo";2015;"3.2015";"2015-04-11"
42066;"2015-03-03";"marzo";2015;"3.2015";"2015-04-12"
42067;"2015-03-04";"marzo";2015;"3.2015";"2015-04-13"
42068;"2015-03-05";"marzo";2015;"3.2015";"2015-04-14"
42069;"2015-03-06";"marzo";2015;"3.2015";"2015-04-15"
42070;"2015-03-07";"marzo";2015;"3.2015";"2015-04-16"
42071;"2015-03-08";"marzo";2015;"3.2015";"2015-04-17"
42072;"2015-03-09";"marzo";2015;"3.2015";"2015-04-18"
42073;"2015-03-10";"marzo";2015;"3.2015";"2015-04-19"
42074;"2015-03-11";"marzo";2015;"3.2015";"2015-04-20"
42075;"2015-03-12";"marzo";2015;"3.2015";"2015-04-21"
42076;"2015-03-13";"marzo";2015;"3.2015";"2015-04-22"
42077;"2015-03-14";"marzo";2015;"3.2015";"2015-04-23"
42078;"2015-03-15";"marzo";2015;"3.2015";"2015-04-24"
42079;"2015-03-16";"marzo";2015;"3.2015";"2015-04-25"
42080;"2015-03-17";"marzo";2015;"3.2015";"2015-04-26"
42081;"2015-03-18";"marzo";2015;"3.2015";"2015-04-27"
42082;"2015-03-19";"marzo";2015;"3.2015";"2015-04-28"
42083;"2015-03-20";"marzo";2015;"3.2015";"2015-04-29"
42084;"2015-03-21";"marzo";2015;"3.2015";"2015-04-30"
42085;"2015-03-22";"marzo";2015;"3.2015";"2015-05-01"
42086;"2015-03-23";"marzo";2015;"3.2015";"2015-05-02"
42087;"2015-03-24";"marzo";2015;"3.2015";"2015-05-03"
42088;"2015-03-25";"marzo";2015;"3.2015";"2015-05-04"
42089;"2015-03-26";"marzo";2015;"3.2015";"2015-05-05"
42090;"2015-03-27";"marzo";2015;"3.2015";"2015-05-06"
42091;"2015-03-28";"marzo";2015;"3.2015";"2015-05-07"
42092;"2015-03-29";"marzo";2015;"3.2015";"2015-05-08"
42093;"2015-03-30";"marzo";2015;"3.2015";"2015-05-09"
42094;"2015-03-31";"marzo";2015;"3.2015";"2015-05-10"
42095;"2015-04-01";"abril";2015;"4.2015";"2015-05-11"
42096;"2015-04-02";"abril";2015;"4.2015";"2015-05-12"
42097;"2015-04-03";"abril";2015;"4.2015";"2015-05-13"
42098;"2015-04-04";"abril";2015;"4.2015";"2015-05-14"
42099;"2015-04-05";"abril";2015;"4.2015";"2015-05-15"
42100;"2015-04-06";"abril";2015;"4.2015";"2015-05-16"
42101;"2015-04-07";"abril";2015;"4.2015";"2015-05-17"
42102;"2015-04-08";"abril";2015;"4.2015";"2015-05-18"
42103;"2015-04-09";"abril";2015;"4.2015";"2015-05-19"
42104;"2015-04-10";"abril";2015;"4.2015";"2015-05-20"
42105;"2015-04-11";"abril";2015;"4.2015";"2015-05-21"
42106;"2015-04-12";"abril";2015;"4.2015";"2015-05-22"
42107;"2015-04-13";"abril";2015;"4.2015";"2015-05-23"
42108;"2015-04-14";"abril";2015;"4.2015";"2015-05-24"
42109;"2015-04-15";"abril";2015;"4.2015";"2015-05-25"
42110;"2015-04-16";"abril";2015;"4.2015";"2015-05-26"
42111;"2015-04-17";"abril";2015;"4.2015";"2015-05-27"
42112;"2015-04-18";"abril";2015;"4.2015";"2015-05-28"
42113;"2015-04-19";"abril";2015;"4.2015";"2015-05-29"
42114;"2015-04-20";"abril";2015;"4.2015";"2015-05-30"
42115;"2015-04-21";"abril";2015;"4.2015";"2015-05-31"
42116;"2015-04-22";"abril";2015;"4.2015";"2015-06-01"
42117;"2015-04-23";"abril";2015;"4.2015";"2015-06-02"
42118;"2015-04-24";"abril";2015;"4.2015";"2015-06-03"
42119;"2015-04-25";"abril";2015;"4.2015";"2015-06-04"
42120;"2015-04-26";"abril";2015;"4.2015";"2015-06-05"
42121;"2015-04-27";"abril";2015;"4.2015";"2015-06-06"
42122;"2015-04-28";"abril";2015;"4.2015";"2015-06-07"
42123;"2015-04-29";"abril";2015;"4.2015";"2015-06-08"
42124;"2015-04-30";"abril";2015;"4.2015";"2015-06-09"
42125;"2015-05-01";"mayo";2015;"5.2015";"2015-06-10"
42126;"2015-05-02";"mayo";2015;"5.2015";"2015-06-11"
42127;"2015-05-03";"mayo";2015;"5.2015";"2015-06-12"
42128;"2015-05-04";"mayo";2015;"5.2015";"2015-06-13"
42129;"2015-05-05";"mayo";2015;"5.2015";"2015-06-14"
42130;"2015-05-06";"mayo";2015;"5.2015";"2015-06-15"
42131;"2015-05-07";"mayo";2015;"5.2015";"2015-06-16"
42132;"2015-05-08";"mayo";2015;"5.2015";"2015-06-17"
42133;"2015-05-09";"mayo";2015;"5.2015";"2015-06-18"
42134;"2015-05-10";"mayo";2015;"5.2015";"2015-06-19"
42135;"2015-05-11";"mayo";2015;"5.2015";"2015-06-20"
42136;"2015-05-12";"mayo";2015;"5.2015";"2015-06-21"
42137;"2015-05-13";"mayo";2015;"5.2015";"2015-06-22"
42138;"2015-05-14";"mayo";2015;"5.2015";"2015-06-23"
42139;"2015-05-15";"mayo";2015;"5.2015";"2015-06-24"
42140;"2015-05-16";"mayo";2015;"5.2015";"2015-06-25"
