"Precio_ID";"Producto_FK";"Proveedor_FK";"Fuente_FK";"Medida_FK";"Date_key";"Divisa_FK";"Precio";"Marca";"Pais";"NOG";"Responsable";"Observaciones";"timestamp"
1;128;399;3;1;42152;8;350.0;"";"";"24538745";"";"";"2023-04-09 11:39:05"
2;5;382;3;1;42375;8;9.1;"ATRAMAT";"";"4958969";"";"";"2023-04-09 11:39:05"
3;5;384;3;1;42375;8;6.0;"B BRAUN";"";"4958969";"";"";"2023-04-09 11:39:05"
4;5;413;3;1;42375;8;3.8;"VITAL SUTURES";"";"4958969";"";"";"2023-04-09 11:39:05"
5;5;391;3;1;42375;8;10.11;"TAGUM";"";"4958969";"";"";"2023-04-09 11:39:05"
6;5;394;3;1;42375;8;5.67;"KOLLSUT";"";"4958969";"";"";"2023-04-09 11:39:05"
7;14;413;3;1;42382;8;9.2;"VITAL SUTURES";"";"4430840";"";"";"2023-04-09 11:39:05"
8;14;391;3;1;42382;8;12.24;"TAGUM";"";"4430840";"";"";"2023-04-09 11:39:05"
9;11;382;3;1;42384;8;11.7;"ATRAMAT";"";"4447859";"";"";"2023-04-09 11:39:05"
10;2;395;3;1;42384;8;5.04;"WEGO";"";"4449398";"";"";"2023-04-09 11:39:05"
11;11;413;3;1;42384;8;8.4;"VITAL SUTURES";"";"4449932";"";"";"2023-04-09 11:39:05"
12;11;394;3;1;42384;8;6.2;"SINORMED";"";"4447859";"";"";"2023-04-09 11:39:05"
13;11;413;3;1;42384;8;9.15;"VITAL SUTURES";"";"4447859";"";"";"2023-04-09 11:39:05"
14;2;413;3;1;42384;8;9.0;"VITAL SUTURES";"";"4449398";"";"";"2023-04-09 11:39:05"
15;2;403;3;1;42384;8;4.95;"OSEN";"";"4449398";"";"";"2023-04-09 11:39:05"
16;2;391;3;1;42384;8;9.68;"TAGUM";"";"4449398";"";"";"2023-04-09 11:39:05"
17;2;382;3;1;42384;8;9.5;"ATRAMAT";"";"4449398";"";"";"2023-04-09 11:39:05"
18;11;391;3;1;42384;8;9.05;"TAGUM";"";"4449932";"";"";"2023-04-09 11:39:05"
19;100;394;3;1;42388;8;2.4;"SINORMED";"";"4455843";"";"";"2023-04-09 11:39:05"
20;100;413;3;1;42388;8;6.5;"VITAL SUTURES";"";"4455843";"";"";"2023-04-09 11:39:05"
21;100;391;3;1;42388;8;7.95;"TAGUM";"";"4455843";"";"";"2023-04-09 11:39:05"
22;7;382;3;1;42390;8;9.65;"ATRAMAT";"";"4465776";"";"";"2023-04-09 11:39:05"
23;11;384;3;1;42390;8;7.0;"B BRAUN";"";"4465830";"";"";"2023-04-09 11:39:05"
24;5;383;3;1;42390;8;14.35;"ETHICON";"";"4465717";"";"";"2023-04-09 11:39:05"
25;5;382;3;1;42390;8;9.75;"ATRAMAT";"";"4465717";"";"";"2023-04-09 11:39:05"
26;5;448;3;1;42390;8;14.38;"ATRAMATNOTA: ALA HORA DE LA ADJUDICACION";"";"4465717";"";"";"2023-04-09 11:39:05"
27;5;384;3;1;42390;8;7.0;"B BRAUN";"";"4465717";"";"";"2023-04-09 11:39:05"
28;7;394;3;1;42390;8;6.25;"WEIGAO";"";"4465776";"";"";"2023-04-09 11:39:05"
29;7;383;3;1;42390;8;14.5;"ETHICON";"";"4465776";"";"";"2023-04-09 11:39:05"
30;11;394;3;1;42390;8;5.6;"WEIGAO";"";"4465830";"";"";"2023-04-09 11:39:05"
31;11;448;3;1;42390;8;12.96;"ATRAMAT";"";"4465830";"";"";"2023-04-09 11:39:05"
32;11;383;3;1;42390;8;13.45;"ETHICON";"";"4465830";"";"";"2023-04-09 11:39:05"
33;11;382;3;1;42390;8;9.65;"ATRAMAT";"";"4465830";"";"";"2023-04-09 11:39:05"
34;12;384;3;1;42391;8;10.0;"B BRAUN";"";"4466691";"";"";"2023-04-09 11:39:05"
35;14;382;3;1;42391;8;11.69;"ATRAMAT";"";"4466802";"";"";"2023-04-09 11:39:05"
36;12;394;3;1;42391;8;5.6;"SINORMED";"";"4466691";"";"";"2023-04-09 11:39:05"
37;12;382;3;1;42391;8;12.39;"ATRAMAT";"";"4466691";"";"";"2023-04-09 11:39:05"
38;14;394;3;1;42391;8;5.6;"SINORMED";"";"4466802";"";"";"2023-04-09 11:39:05"
39;103;413;3;1;42394;8;7.0;"VITAL SUTURES";"";"4473140";"";"";"2023-04-09 11:39:05"
40;100;413;3;1;42394;8;7.0;"VITAL SUTURES";"";"4473132";"";"";"2023-04-09 11:39:05"
41;100;391;3;1;42394;8;7.46;"TAGUM";"";"4473132";"";"";"2023-04-09 11:39:05"
42;100;382;3;1;42394;8;11.0;"MARCA: ATRAMAT";"";"4473132";"";"";"2023-04-09 11:39:05"
43;103;382;3;1;42394;8;6.0;"ATRAMAT";"";"4473140";"";"";"2023-04-09 11:39:05"
44;103;384;3;1;42394;8;6.0;"B BRAUN";"";"4473140";"";"";"2023-04-09 11:39:05"
45;103;391;3;1;42394;8;6.65;"TAGUM";"";"4473140";"";"";"2023-04-09 11:39:05"
46;7;413;3;1;42395;8;9.0;"VITAL SUTURES";"";"4477081";"";"";"2023-04-09 11:39:05"
47;7;391;3;1;42395;8;9.51;"TAGUM";"";"4477081";"";"";"2023-04-09 11:39:05"
48;7;384;3;1;42395;8;5.9;"B BRAUN";"";"4477081";"";"";"2023-04-09 11:39:05"
49;7;394;3;1;42395;8;5.9;"KOLLSUT";"";"4477081";"";"";"2023-04-09 11:39:05"
50;2;384;3;1;42411;8;5.0;"B BRAUN";"";"5612314";"";"";"2023-04-09 11:39:05"
51;2;391;3;1;42411;8;9.18;"TAGUM";"";"5612314";"";"";"2023-04-09 11:39:05"
52;2;413;3;1;42411;8;4.0;"VITAL SUTURES";"";"5612314";"";"";"2023-04-09 11:39:05"
53;2;394;3;1;42411;8;5.35;"KOLLSUT";"";"5612314";"";"";"2023-04-09 11:39:05"
54;2;382;3;1;42411;8;9.35;"ATRAMAT";"";"5612314";"";"";"2023-04-09 11:39:05"
55;5;413;3;1;42412;8;10.3;"VITAL SUTURES";"";"5743117";"";"";"2023-04-09 11:39:05"
56;5;394;3;1;42412;8;6.24;"KOLLSUT";"";"5743117";"";"";"2023-04-09 11:39:05"
57;158;428;3;2;42417;8;1029.0;"";"";"4558162";"";"";"2023-04-09 11:39:05"
58;8;391;3;1;42422;8;11.49;"TAGUM";"";"4566858";"";"";"2023-04-09 11:39:05"
59;10;413;3;1;42422;8;9.15;"VITAL SUTURES";"";"4567048";"";"";"2023-04-09 11:39:05"
60;2;395;3;1;42422;8;3.64;"WEGO";"";"4570421";"";"";"2023-04-09 11:39:05"
61;11;394;3;1;42422;8;4.8;"SINORMED";"";"4558839";"";"";"2023-04-09 11:39:05"
62;8;405;3;1;42422;8;9.75;"MEIYI";"";"4566858";"";"";"2023-04-09 11:39:05"
63;8;384;3;1;42422;8;10.0;"B BRAUN";"";"4566858";"";"";"2023-04-09 11:39:05"
64;8;394;3;1;42422;8;5.5;"SINORMED";"";"4566858";"";"";"2023-04-09 11:39:05"
65;10;391;3;1;42422;8;8.25;"TAGUM";"";"4567048";"";"";"2023-04-09 11:39:05"
66;2;413;3;1;42422;8;9.0;"VITAL SUTURES";"";"4570421";"";"";"2023-04-09 11:39:05"
67;2;383;3;1;42422;8;16.5;"MARCA: ETHICON JOHNSON & JOHNSONPROCEDENCIA: ";"";"4570421";"";"";"2023-04-09 11:39:05"
68;2;405;3;1;42422;8;9.75;"MEIYI";"";"4570421";"";"";"2023-04-09 11:39:05"
69;2;391;3;1;42422;8;11.82;"TAGUM";"";"4570421";"";"";"2023-04-09 11:39:05"
70;2;384;3;1;42422;8;5.95;"B BRAUN";"";"4570421";"";"";"2023-04-09 11:39:05"
71;2;384;3;1;42432;8;7.0;"B BRAUN";"";"4605853";"";"";"2023-04-09 11:39:05"
72;2;413;3;1;42432;8;9.15;"VITAL SUTURES, UNILENE, PERU";"";"4605853";"";"";"2023-04-09 11:39:05"
73;2;448;3;1;42432;8;13.97;"ATRAMAT";"";"4605853";"";"";"2023-04-09 11:39:05"
74;2;405;3;1;42432;8;8.9;"MEIYI";"";"4605853";"";"";"2023-04-09 11:39:05"
75;2;394;3;1;42432;8;5.4;"WEIGAO";"";"4605853";"";"";"2023-04-09 11:39:05"
76;2;395;3;1;42432;8;5.1;"WEGO";"";"4605853";"";"";"2023-04-09 11:39:05"
77;102;383;3;1;42439;8;9.37;"ETHICON JOHNSON & JOHNSON |";"";"5501814";"";"";"2023-04-09 11:39:05"
78;102;394;3;1;42439;8;3.57;"KOLLSUT";"";"5501814";"";"";"2023-04-09 11:39:05"
79;102;413;3;1;42439;8;5.71;"VITAL SUTURES";"";"5501814";"";"";"2023-04-09 11:39:05"
80;103;413;3;1;42443;8;6.25;"VITAL SUTURES";"";"4655389";"";"";"2023-04-09 11:39:05"
81;99;413;3;1;42443;8;7.14;"VITAL SUTURES";"";"4659228";"";"";"2023-04-09 11:39:05"
82;100;383;3;1;42443;8;16.07;"ETHICON JOHNSON & JOHNSON";"";"4659759";"";"";"2023-04-09 11:39:05"
83;103;383;3;1;42443;8;8.26;"ETHICON JOHNSON & JOHNSON";"";"4655389";"";"";"2023-04-09 11:39:05"
84;99;384;3;1;42443;8;5.36;"B BRAUN";"";"4659228";"";"";"2023-04-09 11:39:05"
85;99;391;3;1;42443;8;6.66;"TAGUM";"";"4659228";"";"";"2023-04-09 11:39:05"
86;99;383;3;1;42443;8;11.16;"ETHICON JOHNSON & JOHNSON";"";"4659228";"";"";"2023-04-09 11:39:05"
87;100;384;3;1;42443;8;6.25;"B BRAUN";"";"4659759";"";"";"2023-04-09 11:39:05"
88;100;413;3;1;42443;8;6.7;"VITAL SUTURES";"";"4659759";"";"";"2023-04-09 11:39:05"
89;2;413;3;1;42446;8;9.15;"VITAL SUTURES";"";"4635604";"";"";"2023-04-09 11:39:05"
90;2;391;3;1;42446;8;13.52;"TAGUM";"";"4635604";"";"";"2023-04-09 11:39:05"
91;2;395;3;1;42446;8;5.48;"WEGO";"";"4635604";"";"";"2023-04-09 11:39:05"
92;2;384;3;1;42446;8;5.0;"B BRAUN";"";"4635604";"";"";"2023-04-09 11:39:05"
93;2;394;3;1;42465;8;5.8;"WEIGAO";"";"4826655";"";"";"2023-04-09 11:39:05"
94;12;391;3;1;42465;8;9.14;"TAGUM";"";"4819772";"";"";"2023-04-09 11:39:05"
95;14;391;3;1;42465;8;9.57;"TAGUM";"";"4820053";"";"";"2023-04-09 11:39:05"
96;2;403;3;1;42465;8;4.95;"OSEN";"";"4826655";"";"";"2023-04-09 11:39:05"
97;2;384;3;1;42465;8;5.75;"B BRAUN";"";"4826655";"";"";"2023-04-09 11:39:05"
98;2;383;3;1;42465;8;16.5;"MARCA: ETHICON JOHNSON & JOHNSONADJUNTO; PROF";"";"4826655";"";"";"2023-04-09 11:39:05"
99;2;413;3;1;42465;8;5.5;"VITAL SUTURES";"";"4826655";"";"";"2023-04-09 11:39:05"
100;12;394;3;1;42465;8;4.2;"SINORMED";"";"4819772";"";"";"2023-04-09 11:39:05"
101;10;413;3;1;42478;8;4.5;"VITAL SUTURES";"";"4766768";"";"";"2023-04-09 11:39:05"
102;103;382;3;1;42486;8;5.75;"ATRAMAT";"";"4794451";"";"";"2023-04-09 11:39:05"
103;7;391;3;1;42486;8;9.19;"TAGUM";"";"4793218";"";"";"2023-04-09 11:39:05"
104;103;383;3;1;42486;8;9.9;"ETHICON JOHNSON & JOHNSON";"";"4794451";"";"";"2023-04-09 11:39:05"
105;103;391;3;1;42486;8;6.42;"TAGUM";"";"4794451";"";"";"2023-04-09 11:39:05"
106;103;384;3;1;42486;8;6.0;"B BRAUN";"";"4794451";"";"";"2023-04-09 11:39:05"
107;7;383;3;1;42486;8;14.25;"ETHICON JOHNSON & JOHNSON";"";"4793218";"";"";"2023-04-09 11:39:05"
108;7;382;3;1;42486;8;9.25;"ATRAMAT";"";"4793218";"";"";"2023-04-09 11:39:05"
109;7;413;3;1;42486;8;5.09;"VITAL SUTURES";"";"4793218";"";"";"2023-04-09 11:39:05"
110;7;384;3;1;42486;8;8.0;"B BRAUN";"";"4793218";"";"";"2023-04-09 11:39:05"
111;158;428;3;2;42493;8;1029.0;"";"";"4820258";"";"";"2023-04-09 11:39:05"
112;11;394;3;1;42494;8;5.6;"WEIGAO";"";"4719646";"";"";"2023-04-09 11:39:05"
113;11;391;3;1;42494;8;9.92;"TAGUM";"";"4719646";"";"";"2023-04-09 11:39:05"
114;2;383;3;1;42495;8;14.25;"ETHICON JOHNSON & JOHNSON";"";"4830032";"";"";"2023-04-09 11:39:05"
115;2;382;3;1;42495;8;9.35;"ATRAMAT";"";"4830032";"";"";"2023-04-09 11:39:05"
116;2;395;3;1;42495;8;3.98;"WEGO";"";"4830032";"";"";"2023-04-09 11:39:05"
117;2;413;3;1;42495;8;4.0;"VITAL SUTURES";"";"4830032";"";"";"2023-04-09 11:39:05"
118;2;395;3;1;42506;8;3.94;"WEGO";"";"4881494";"";"";"2023-04-09 11:39:05"
119;2;394;3;1;42506;8;5.6;"WEIGAO";"";"4881494";"";"";"2023-04-09 11:39:05"
120;2;413;3;1;42506;8;3.9;"VITAL SUTURES";"";"4881494";"";"";"2023-04-09 11:39:05"
121;7;394;3;1;42514;8;6.75;"KOLLSUT";"";"4926579";"";"";"2023-04-09 11:39:05"
122;7;384;3;1;42514;8;10.0;"B BRAUN";"";"4926579";"";"";"2023-04-09 11:39:05"
123;7;395;3;1;42514;8;8.9;"KOLLSUT";"";"4926579";"";"";"2023-04-09 11:39:05"
124;7;413;3;1;42514;8;9.0;"VITAL SUTURES";"";"4926579";"";"";"2023-04-09 11:39:05"
125;100;382;3;1;42515;8;7.0;"ATRAMAT";"";"4928342";"";"";"2023-04-09 11:39:05"
126;100;413;3;1;42515;8;7.0;"VITAL SUTURES";"";"4928342";"";"";"2023-04-09 11:39:05"
127;100;391;3;1;42515;8;7.95;"TAGUM";"";"4928342";"";"";"2023-04-09 11:39:05"
128;100;394;3;1;42515;8;4.8;"KOLLSUT";"";"4928342";"";"";"2023-04-09 11:39:05"
129;11;391;3;1;42516;8;9.06;"TAGUM";"";"4928407";"";"";"2023-04-09 11:39:05"
130;11;394;3;1;42516;8;4.85;"SINORMED";"";"4928407";"";"";"2023-04-09 11:39:05"
131;11;446;3;1;42516;8;4.0;"VITAL SUTURES";"";"4928407";"";"";"2023-04-09 11:39:05"
132;12;413;3;1;42520;8;7.0;"VITAL SUTURES";"";"4946472";"";"";"2023-04-09 11:39:05"
133;12;394;3;1;42520;8;4.2;"SINORMED";"";"4946472";"";"";"2023-04-09 11:39:05"
134;12;391;3;1;42520;8;9.08;"TAGUM";"";"4946472";"";"";"2023-04-09 11:39:05"
135;100;394;3;1;42521;8;3.75;"KOLLSUT";"";"4955153";"";"";"2023-04-09 11:39:05"
136;100;413;3;1;42521;8;5.54;"VITAL SUTURES";"";"4955153";"";"";"2023-04-09 11:39:05"
137;100;391;3;1;42521;8;6.66;"TAGUM";"";"4955153";"";"";"2023-04-09 11:39:05"
138;100;382;3;1;42521;8;6.25;"ATRAMAT";"";"4955153";"";"";"2023-04-09 11:39:05"
139;100;384;3;1;42521;8;6.25;"B BRAUN";"";"4955153";"";"";"2023-04-09 11:39:05"
140;5;382;3;1;42526;8;9.15;"ATRAMAT";"";"4823966";"";"";"2023-04-09 11:39:05"
