Catalogo_ID,Revision,Evento_FK,Renglon,Producto_FK,Medida_FK,Cantidad,Rubro_FK,timestamp,PR,Date_key,Observaciones
1,1,2,1,154,3,7700,13,"2023-04-06 12:47:32",NULL,NULL,NULL
2,1,2,2,155,2,3850,13,"2023-04-06 12:47:32",NULL,NULL,NULL
3,1,2,3,156,1,3300,13,"2023-04-06 12:47:32",NULL,NULL,NULL
4,1,2,4,157,1,367126,13,"2023-04-06 12:47:32",NULL,NULL,NULL
5,1,2,5,158,2,4554,13,"2023-04-06 12:47:32",NULL,NULL,NULL
6,1,1,1,1,1,36,9,"2023-04-06 12:47:32",NULL,NULL,NULL
7,1,1,2,2,1,139,9,"2023-04-06 12:47:32",NULL,NULL,NULL
8,1,1,3,3,1,28,9,"2023-04-06 12:47:32",NULL,NULL,NULL
9,1,1,4,4,1,8,9,"2023-04-06 12:47:32",NULL,NULL,NULL
10,1,1,5,5,1,137,9,"2023-04-06 12:47:32",NULL,NULL,NULL
11,1,1,6,6,1,55,9,"2023-04-06 12:47:32",NULL,NULL,NULL
12,1,1,7,7,1,52,9,"2023-04-06 12:47:32",NULL,NULL,NULL
13,1,1,8,8,1,15,9,"2023-04-06 12:47:32",NULL,NULL,NULL
14,1,1,9,9,1,912,9,"2023-04-06 12:47:32",NULL,NULL,NULL
15,1,1,10,10,1,336,9,"2023-04-06 12:47:32",NULL,NULL,NULL
16,1,1,11,11,1,5,9,"2023-04-06 12:47:32",NULL,NULL,NULL
17,1,1,12,12,1,8,9,"2023-04-06 12:47:32",NULL,NULL,NULL
18,1,1,13,13,1,840,9,"2023-04-06 12:47:32",NULL,NULL,NULL
19,1,1,14,14,1,576,9,"2023-04-06 12:47:32",NULL,NULL,NULL
20,1,1,15,15,1,72,9,"2023-04-06 12:47:32",NULL,NULL,NULL
21,1,1,16,16,1,72,9,"2023-04-06 12:47:32",NULL,NULL,NULL
22,1,1,17,17,1,72,10,"2023-04-06 12:47:32",NULL,NULL,NULL
23,1,1,18,18,1,255,10,"2023-04-06 12:47:32",NULL,NULL,NULL
24,1,1,19,19,1,46,10,"2023-04-06 12:47:32",NULL,NULL,NULL
25,1,1,20,20,1,105,10,"2023-04-06 12:47:32",NULL,NULL,NULL
26,1,1,21,21,1,34,10,"2023-04-06 12:47:32",NULL,NULL,NULL
