"Precio_ID";"Producto_FK";"Proveedor_FK";"Fuente_FK";"Medida_FK";"Date_key";"Divisa_FK";"Precio";"Marca";"Pais";"NOG";"Responsable";"Observaciones";"timestamp"
2048;128;399;3;1;42150;8;350.0;"";"";"24538745";"";"";"2023-04-08 13:11:53"
2049;5;382;3;1;42373;8;9.1;"ATRAMAT";"";"4958969";"";"";"2023-04-08 13:11:53"
2050;5;384;3;1;42373;8;6.0;"B BRAUN";"";"4958969";"";"";"2023-04-08 13:11:53"
2051;5;413;3;1;42373;8;3.8;"VITAL SUTURES";"";"4958969";"";"";"2023-04-08 13:11:53"
2052;5;391;3;1;42373;8;10.11;"TAGUM";"";"4958969";"";"";"2023-04-08 13:11:53"
2053;5;394;3;1;42373;8;5.67;"KOLLSUT";"";"4958969";"";"";"2023-04-08 13:11:53"
2054;14;413;3;1;42380;8;9.2;"VITAL SUTURES";"";"4430840";"";"";"2023-04-08 13:11:53"
2055;14;391;3;1;42380;8;12.24;"TAGUM";"";"4430840";"";"";"2023-04-08 13:11:53"
2056;11;382;3;1;42382;8;11.7;"ATRAMAT";"";"4447859";"";"";"2023-04-08 13:11:53"
2057;2;395;3;1;42382;8;5.04;"WEGO";"";"4449398";"";"";"2023-04-08 13:11:53"
2058;11;413;3;1;42382;8;8.4;"VITAL SUTURES";"";"4449932";"";"";"2023-04-08 13:11:53"
2059;11;394;3;1;42382;8;6.2;"SINORMED";"";"4447859";"";"";"2023-04-08 13:11:53"
2060;11;413;3;1;42382;8;9.15;"VITAL SUTURES";"";"4447859";"";"";"2023-04-08 13:11:53"
2061;2;413;3;1;42382;8;9.0;"VITAL SUTURES";"";"4449398";"";"";"2023-04-08 13:11:53"
2062;2;403;3;1;42382;8;4.95;"OSEN";"";"4449398";"";"";"2023-04-08 13:11:53"
2063;2;391;3;1;42382;8;9.68;"TAGUM";"";"4449398";"";"";"2023-04-08 13:11:53"
2064;2;382;3;1;42382;8;9.5;"ATRAMAT";"";"4449398";"";"";"2023-04-08 13:11:53"
2065;11;391;3;1;42382;8;9.05;"TAGUM";"";"4449932";"";"";"2023-04-08 13:11:53"
2066;100;394;3;1;42386;8;2.4;"SINORMED";"";"4455843";"";"";"2023-04-08 13:11:53"
2067;100;413;3;1;42386;8;6.5;"VITAL SUTURES";"";"4455843";"";"";"2023-04-08 13:11:53"
2068;100;391;3;1;42386;8;7.95;"TAGUM";"";"4455843";"";"";"2023-04-08 13:11:53"
2069;7;382;3;1;42388;8;9.65;"ATRAMAT";"";"4465776";"";"";"2023-04-08 13:11:53"
2070;11;384;3;1;42388;8;7.0;"B BRAUN";"";"4465830";"";"";"2023-04-08 13:11:53"
2071;5;383;3;1;42388;8;14.35;"ETHICON";"";"4465717";"";"";"2023-04-08 13:11:53"
2072;5;382;3;1;42388;8;9.75;"ATRAMAT";"";"4465717";"";"";"2023-04-08 13:11:53"
