NIT,Nombre,Direccion,Telefono,e-mail
40084021,Blognation,52 John Wall Drive,48718798,gliffey0@shutterfly.com
45290304,Roomm,3855 Old Shore Circle,95681212,baubray1@noaa.gov
36544693,Voonyx,07 1st Terrace,18888727,ssuddell2@lulu.com
67362752,Plambee,14605 Kings Street,69235521,jrough3@plala.or.jp
91885031,Dabfeed,255 David Way,90318258,dmcclay4@hugedomains.com
86196351,Quinu,14397 Buell Place,95031704,obonallack5@csmonitor.com
55873297,Centimia,05828 Northland Lane,19917424,jganderton6@fc2.com
84602058,Riffwire,8705 Superior Alley,00993175,dgillan7@mozilla.com
08691818,Fatz,320 Granby Point,42453966,ichampionnet8@goodreads.com
33287030,Skaboo,6533 Ludington Alley,09263711,mullett9@lycos.com
01378416,Blogtag,288 Express Court,50249413,ghartea@trellian.com
57138243,Plambee,8 Anhalt Point,28858246,tfibbensb@usatoday.com
76018983,Meedoo,03 Farragut Trail,43456775,cgravec@theguardian.com
08686180,Mymm,8218 Porter Junction,01128090,slanchesterd@issuu.com
09266634,Demivee,414 Service Terrace,68130752,jkristoffersene@360.cn
51120447,Meejo,14 Dunning Hill,46051811,dstuttmanf@hibu.com
59013883,Tagtune,9831 Swallow Point,48577713,mjewissg@vimeo.com
12432046,Dabjam,1417 Mayer Road,27629557,rwombwellh@noaa.gov
58240642,Jaxspan,02551 Thierer Court,55588222,ebrowni@list-manage.com
95012440,Feedbug,304 Meadow Ridge Lane,47319261,jbowmenj@kickstarter.com
20189607,Tambee,6 Southridge Hill,72783046,djentgesk@quantcast.com
89115313,Flipopia,9 Ruskin Pass,07590601,rsheivelsl@clickbank.net
47423446,Vinder,5 Arkansas Junction,03204383,sthingm@bbb.org
03003980,Kwideo,6561 Green Ridge Drive,20913748,qbettonn@usda.gov
42569250,Digitube,1 Ilene Point,68010366,bjanoscheko@icio.us
38887750,Pixope,70 Maple Park,73457207,dandryszczakp@yale.edu
65940084,Eidel,87 Heath Street,49916300,htargetterq@nba.com
94155083,Quinu,88363 Northport Plaza,91332217,kelsipr@newyorker.com
00702596,Zoomcast,155 8th Parkway,85026495,mferrinis@archive.org
68705501,Pixonyx,9017 Scofield Circle,99427658,jclutterhamt@usatoday.com
42123959,Divanoodle,9 Oxford Crossing,14482277,pdanisu@ifeng.com
59872833,Jaxnation,49 Maywood Avenue,90099059,bodooghainev@ft.com
32341408,Edgewire,9 Tennyson Alley,97648375,bmedwellw@ted.com
05795108,Browsedrive,5 Calypso Trail,52064786,bdowningx@patch.com
35230432,Eazzy,8847 Loeprich Center,30766921,amcaughtriey@wired.com
62417690,Ailane,64 Waywood Circle,44009681,jjewittz@ibm.com
34099294,Eabox,8 Ludington Crossing,37432614,ltristram10@ask.com
14455368,Rhynoodle,917 Susan Center,50241511,pmacak11@freewebs.com
46682440,Nlounge,37 Old Gate Lane,71492303,lnoyes12@exblog.jp
02487048,Katz,9208 Donald Parkway,11839220,adunham13@ifeng.com
51564505,Flashdog,4 Schlimgen Crossing,01030393,bweekley14@fastcompany.com
97151657,Quimba,35 Fordem Street,39128534,mmeharry15@cyberchimps.com
58252383,Ailane,8102 High Crossing Court,54914494,rprandini16@usda.gov
63903209,Vimbo,56587 Novick Plaza,88985719,tcanadas17@vimeo.com
90172240,Skajo,0322 Gerald Plaza,70079746,ffalla18@nba.com
16688088,Twitterbridge,5421 Arkansas Hill,08555267,bstollen19@dedecms.com
51190025,Oba,7 Springview Park,86371785,epauncefort1a@fotki.com
63008980,Aivee,58312 John Wall Parkway,26183586,jcritzen1b@netscape.com
07535940,Fiveclub,3987 Ohio Alley,33032371,bbillany1c@phpbb.com
56126552,Buzzster,61456 Hauk Pass,51758231,dmcglaughn1d@slideshare.net
64035595,Realpoint,82 Shopko Crossing,24513428,rwilne1e@epa.gov
90080151,Jabbertype,63 Tony Park,76856136,mpeach1f@joomla.org
38096836,Avaveo,640 Grasskamp Hill,26148919,tklesl1g@networksolutions.com
68990230,Demivee,57 Veith Alley,95271994,bcockcroft1h@multiply.com
48206531,Avaveo,456 Linden Center,77478140,enevet1i@rediff.com
77102071,Quimm,09423 Carey Plaza,96542967,mconichie1j@usa.gov
73934048,Vidoo,9 Scott Circle,72134803,cgodson1k@economist.com
77038851,Vipe,3849 Annamark Parkway,19013835,oarrighetti1l@wunderground.com
78807441,Thoughtworks,01510 Stuart Road,82081592,mkrammer1m@nifty.com
77461727,Ntag,05319 Glacier Hill Drive,29128347,rfaichney1n@is.gd
44838107,Flashpoint,5 Sage Way,83841331,rmeindl1o@tmall.com
