NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
19554648;2016;9.15;12.251052128;Guatecompras;Q;14/09/2016;58
4556984;2016;13.75;18.410051012;Guatecompras;Q;19/09/2016;5
47912677;2016;8.13;10.885361071;Guatecompras;Q;19/09/2016;5
4123670;2016;7;9.372389606;Guatecompras;Q;19/09/2016;5
4123670;2016;10;13.389128009;Guatecompras;Q;21/09/2016;8
19554648;2016;9.15;12.251052128;Guatecompras;Q;21/09/2016;8
47912677;2016;10.84;14.513814762;Guatecompras;Q;21/09/2016;8
41274989;2016;3.571;4.865016869;Guatecompras;Q;10/03/2016;102
19554648;2016;5.705;7.772310624;Guatecompras;Q;10/03/2016;102
4123670;2016;6;8.033476805;Guatecompras;Q;30/09/2016;2
41274989;2016;8.9;11.916323928;Guatecompras;Q;30/09/2016;2
29415683;2016;193;258.410170572;Guatecompras;Q;30/09/2016;2
4123670;2016;6;8.033476805;Guatecompras;Q;30/09/2016;2
41274989;2016;6.45;8.635987566;Guatecompras;Q;30/09/2016;2
47912677;2016;10.04;13.442684521;Guatecompras;Q;30/09/2016;2
47912677;2016;240.12;321.499741750;Guatecompras;Q;30/09/2016;2
47912677;2016;6.72;8.997494022;Guatecompras;Q;30/09/2016;2
5506433;2016;525;702.929220469;Guatecompras;Q;30/09/2016;2
47912677;2016;10.86;14.540593018;Guatecompras;Q;30/09/2016;2
47912677;2016;9.98;13.219053777;Guatecompras;Q;22/11/2016;7
47912677;2017;5.28;6.774111357;Guatecompras;Q;18/09/2017;103
19554648;2017;9.15;11.739227068;Guatecompras;Q;18/09/2017;2
64186059;2017;5.85;7.505407470;Guatecompras;Q;18/09/2017;2
47912677;2017;10.3;13.214649049;Guatecompras;Q;18/09/2017;2
47912677;2017;9.51;12.201098297;Guatecompras;Q;18/09/2017;2
2475546K;2017;11;14.112731994;Guatecompras;Q;18/09/2017;2
19554648;2017;8.39;10.764165585;Guatecompras;Q;18/09/2017;2
4556984;2017;16;20.527610173;Guatecompras;Q;21/09/2017;3
47912677;2017;9.77;12.534671962;Guatecompras;Q;21/09/2017;3
19554648;2017;9.15;11.739227068;Guatecompras;Q;21/09/2017;3
2475546K;2017;11;14.112731994;Guatecompras;Q;21/09/2017;3
41274989;2017;5.6;7.184663561;Guatecompras;Q;23/09/2017;2
64186059;2017;5.85;7.505407470;Guatecompras;Q;25/09/2017;5
2475546K;2017;8.42;10.802654854;Guatecompras;Q;25/09/2017;5
5506433;2017;7;8.980829451;Guatecompras;Q;25/09/2017;5
47912677;2017;8.62;11.059249981;Guatecompras;Q;25/09/2017;5
61458228;2017;9.5;12.188268540;Guatecompras;Q;25/09/2017;106
47912677;2017;7.04;9.032148476;Guatecompras;Q;25/09/2017;106
47912677;2017;10.7;13.727839303;Guatecompras;Q;27/09/2017;2
61458228;2017;11;14.112731994;Guatecompras;Q;27/09/2017;2
47912677;2017;5.94;7.620875277;Guatecompras;Q;28/09/2017;102
19554648;2017;6.15;7.890300160;Guatecompras;Q;28/09/2017;102
61458228;2017;7;8.980829451;Guatecompras;Q;28/09/2017;102
4123670;2017;6;7.697853815;Guatecompras;Q;28/09/2017;102
41274989;2017;5.6;7.184663561;Guatecompras;Q;29/09/2017;5
19554648;2017;9.15;11.739227068;Guatecompras;Q;29/09/2017;5
4123670;2017;4;5.131902543;Guatecompras;Q;29/09/2017;5
47912677;2017;8.02;10.289464599;Guatecompras;Q;29/09/2017;5
47912677;2017;9.05;11.610929504;Guatecompras;Q;29/09/2017;8
5506433;2017;7.25;9.301573360;Guatecompras;Q;29/09/2017;8
19554648;2017;8.2;10.520400214;Guatecompras;Q;29/09/2017;8
47912677;2017;9.29;11.918843657;Guatecompras;Q;10/09/2017;2
61458228;2017;15;19.244634538;Guatecompras;Q;10/09/2017;2
2475546K;2017;11;14.112731994;Guatecompras;Q;10/09/2017;2
4123670;2016;7;9.370149016;Guatecompras;Q;27/07/2016;5
41274989;2016;6.79;9.089044545;Guatecompras;Q;27/07/2016;5
41274989;2016;4.99;6.679577656;Guatecompras;Q;25/07/2016;103
2475546K;2017;11;14.035548804;Guatecompras;Q;10/08/2017;5
41274989;2017;5.6;7.145370300;Guatecompras;Q;10/08/2017;5
47912677;2017;8.62;10.998766426;Guatecompras;Q;10/08/2017;5
19554648;2017;9;11.483630839;Guatecompras;Q;10/08/2017;5
4123670;2016;7;9.370149016;Guatecompras;Q;27/07/2016;102
41274989;2016;3.87;5.180353813;Guatecompras;Q;27/07/2016;102
19554648;2016;7;9.370149016;Guatecompras;Q;27/07/2016;102
47912677;2016;6.65;8.901641565;Guatecompras;Q;27/07/2016;102
47912677;2016;9.5;12.716630807;Guatecompras;Q;27/07/2016;103
4123670;2016;6;7.978152458;Guatecompras;Q;17/10/2016;3
41274989;2016;4.5;5.983614343;Guatecompras;Q;17/10/2016;3
